Make	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Audi	22.83	22.00	22.13	22.11	21.78	23.67	22.00	22.00	22.00					20.33	20.00	20.00		20.00	19.50				25.00	23.67	23.72	28.90	30.78	34.09
BMW						19.67	19.00	19.00			24.33	23.67	24.20	19.00			22.00	22.00	23.00		19.00	26.17	27.50	27.78	26.20	29.98	30.13	30.85
Buick	24.57	25.00			23.00	23.00	26.50	26.67	27.50	25.00				26.40	26.80	23.62	21.50	22.14		25.50	25.56	26.00				29.36	28.67	28.67
Cadillac	22.00	21.50	21.50	21.50	23.00	23.00	24.00			23.00	24.00	24.00	25.00	25.00	24.00	22.50		22.20	22.17	23.00	24.44	22.79	24.41	24.09	24.55	25.47	26.91	26.00
Chevrolet	28.00		21.14	21.00	20.65	22.38	23.60	18.68	18.97	29.13	30.38	32.75	22.10	22.88	22.88	24.58	23.61	19.86	24.13	29.17	32.55	27.14	22.64	23.50	32.29	27.96	28.57	27.75
Chrysler	22.50	22.50	23.00	25.33	25.00	25.00	24.00		25.00	24.50	23.50	22.25	23.56	25.14	25.40		22.67	21.58	24.38	26.07	27.67				25.00	29.20	29.52	30.21
Dodge	26.33	17.92	20.61	20.96	27.62	23.25	22.33		16.50	16.67	15.86	15.57	18.00	22.73	27.32	26.91	23.50	22.88	18.83	19.10	20.89	24.00	30.00	25.40	30.70	25.68	26.90	24.23
Ford	20.86	25.56	30.86	33.20	23.17	24.71	19.81	19.68	19.76	18.59	25.00	22.30	22.80	21.82	18.45	22.90	23.06	23.00	20.75	22.33	23.43	24.93	16.54	17.14	16.86	27.09	26.02	26.06
GMC	21.64	19.38	17.00	17.00	18.20	17.86		16.00	17.00	18.00	18.55	18.25	21.22	20.92	18.00	17.93	17.75	18.49	19.83	20.17		23.00	23.18	23.00	17.18	23.62	23.13	23.92
Honda	35.33	35.67				32.00	31.67	31.67		24.00	20.67	20.82	19.38					24.00	25.00	24.46	25.25	25.67	44.00	36.41	34.95	33.63	33.84	33.57
Hyundai			31.50	31.29	31.33	32.00						25.00		24.00	24.00	24.00	25.00	24.30	24.63		26.50	26.00	26.00	37.33	31.48	30.81	32.10	31.42
Mazda			24.33	25.27	23.56	26.80	26.33	27.50	21.60	21.18	22.60	24.17	24.35	23.47	23.33	23.40	23.00	21.38	25.14	25.19	25.10	24.95	27.83	30.56	28.71	33.29	34.80	34.83
Nissan	23.33	28.75	28.00	31.00	22.00	20.92	24.44	24.85	28.83									24.14	24.14	24.86	33.00	33.00	28.80	23.45	26.74	28.67	30.41	27.61
Subaru		26.00	29.13	29.38	29.33	23.00	22.00	22.00							22.80	23.00	21.48	21.00					21.00	25.85	26.80	31.98	31.77	31.28
Toyota	22.00	22.00	22.00	20.63	21.42	21.52	23.87	24.19	21.88					32.60	32.07	32.80	28.30	28.55	28.55			29.40	31.00	28.21	28.86	26.32	26.25	26.30
Volkswagen	16.86	22.86	27.86	27.83	22.00						28.00	24.75	25.13	18.00	19.75	19.00	19.00	28.00	27.71	27.86	26.55	25.00	32.06	33.50	33.33	34.64	34.06	31.32
Volvo	22.82	23.10	25.14	24.38	23.00	24.14	24.67	24.40	24.50	24.75	24.67		25.00	27.00	27.00				24.00	27.83	28.00	29.43	28.67	28.67	25.67	28.54	28.67	30.88
