Entity,Year,Same sex marriage and civil unions legal
Andorra,2005,Some Rights Offered
Andorra,2006,Some Rights Offered
Andorra,2007,Some Rights Offered
Andorra,2008,Some Rights Offered
Andorra,2009,Some Rights Offered
Andorra,2010,Some Rights Offered
Andorra,2011,Some Rights Offered
Andorra,2012,Some Rights Offered
Andorra,2013,Some Rights Offered
Andorra,2014,Some Rights Offered
Andorra,2015,Some Rights Offered
Andorra,2016,Some Rights Offered
Andorra,2017,Some Rights Offered
Andorra,2018,Some Rights Offered
Andorra,2019,Some Rights Offered
Andorra,2020,Some Rights Offered
Argentina,2010,Legal
Argentina,2011,Legal
Argentina,2012,Legal
Argentina,2013,Legal
Argentina,2014,Legal
Argentina,2015,Legal
Argentina,2016,Legal
Argentina,2017,Legal
Argentina,2018,Legal
Argentina,2019,Legal
Argentina,2020,Legal
Australia,2017,Legal
Australia,2018,Legal
Australia,2019,Legal
Australia,2020,Legal
Austria,2019,Legal
Austria,2020,Legal
Belgium,2003,Legal
Belgium,2004,Legal
Belgium,2005,Legal
Belgium,2006,Legal
Belgium,2007,Legal
Belgium,2008,Legal
Belgium,2009,Legal
Belgium,2010,Legal
Belgium,2011,Legal
Belgium,2012,Legal
Belgium,2013,Legal
Belgium,2014,Legal
Belgium,2015,Legal
Belgium,2016,Legal
Belgium,2017,Legal
Belgium,2018,Legal
Belgium,2019,Legal
Belgium,2020,Legal
Brazil,2013,Legal
Brazil,2014,Legal
Brazil,2015,Legal
Brazil,2016,Legal
Brazil,2017,Legal
Brazil,2018,Legal
Brazil,2019,Legal
Brazil,2020,Legal
Canada,2005,Legal
Canada,2006,Legal
Canada,2007,Legal
Canada,2008,Legal
Canada,2009,Legal
Canada,2010,Legal
Canada,2011,Legal
Canada,2012,Legal
Canada,2013,Legal
Canada,2014,Legal
Canada,2015,Legal
Canada,2016,Legal
Canada,2017,Legal
Canada,2018,Legal
Canada,2019,Legal
Canada,2020,Legal
Chile,2015,Some Rights Offered
Chile,2016,Some Rights Offered
Chile,2017,Some Rights Offered
Chile,2018,Some Rights Offered
Chile,2019,Some Rights Offered
Chile,2020,Some Rights Offered
Colombia,2016,Legal
Colombia,2017,Legal
Colombia,2018,Legal
Colombia,2019,Legal
Colombia,2020,Legal
Costa Rica,2020,Legal
Croatia,2014,Some Rights Offered
Croatia,2015,Some Rights Offered
Croatia,2016,Some Rights Offered
Croatia,2017,Some Rights Offered
Croatia,2018,Some Rights Offered
Croatia,2019,Some Rights Offered
Croatia,2020,Some Rights Offered
Cyprus,2015,Some Rights Offered
Cyprus,2016,Some Rights Offered
Cyprus,2017,Some Rights Offered
Cyprus,2018,Some Rights Offered
Cyprus,2019,Some Rights Offered
Cyprus,2020,Some Rights Offered
Czechia,2006,Some Rights Offered
Czechia,2007,Some Rights Offered
Czechia,2008,Some Rights Offered
Czechia,2009,Some Rights Offered
Czechia,2010,Some Rights Offered
Czechia,2011,Some Rights Offered
Czechia,2012,Some Rights Offered
Czechia,2013,Some Rights Offered
Czechia,2014,Some Rights Offered
Czechia,2015,Some Rights Offered
Czechia,2016,Some Rights Offered
Czechia,2017,Some Rights Offered
Czechia,2018,Some Rights Offered
Czechia,2019,Some Rights Offered
Czechia,2020,Some Rights Offered
Denmark,2012,Legal
Denmark,2013,Legal
Denmark,2014,Legal
Denmark,2015,Legal
Denmark,2016,Legal
Denmark,2017,Legal
Denmark,2018,Legal
Denmark,2019,Legal
Denmark,2020,Legal
Ecuador,2019,Legal
Ecuador,2020,Legal
Estonia,2016,Some Rights Offered
Estonia,2017,Some Rights Offered
Estonia,2018,Some Rights Offered
Estonia,2019,Some Rights Offered
Estonia,2020,Some Rights Offered
Finland,2015,Legal
Finland,2016,Legal
Finland,2017,Legal
Finland,2018,Legal
Finland,2019,Legal
Finland,2020,Legal
France,2013,Legal
France,2014,Legal
France,2015,Legal
France,2016,Legal
France,2017,Legal
France,2018,Legal
France,2019,Legal
France,2020,Legal
Germany,2017,Legal
Germany,2018,Legal
Germany,2019,Legal
Germany,2020,Legal
Greece,2015,Some Rights Offered
Greece,2016,Some Rights Offered
Greece,2017,Some Rights Offered
Greece,2018,Some Rights Offered
Greece,2019,Some Rights Offered
Greece,2020,Some Rights Offered
Greenland,2015,Legal
Greenland,2016,Legal
Greenland,2017,Legal
